,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,andenes,NO,0,12/10/2017,69,69.31,16.12,37.4,14.99
1,mount isa,AU,0,12/10/2017,15,-20.73,139.5,89.6,9.17
2,coquimbo,CL,20,12/10/2017,68,-29.95,-71.34,64.4,9.17
3,tawang,IN,0,12/10/2017,51,27.58,91.87,33.67,1.14
4,ahipara,NZ,44,12/10/2017,76,-35.17,173.17,69.98,3.49
5,moron,CU,75,12/10/2017,68,22.11,-78.63,69.8,14.99
6,kuala selangor,MY,56,12/10/2017,99,3.35,101.25,72.91,4.61
7,saint-philippe,RE,0,12/10/2017,64,-21.36,55.77,75.2,4.7
8,niquero,CU,92,12/10/2017,100,20.04,-77.58,77.18,15.46
9,bengkulu,ID,80,12/10/2017,100,-3.8,102.27,77.9,5.95
10,jinotega,NI,40,12/10/2017,63,13.09,-86,66.2,13.87
11,bowen,AU,40,12/10/2017,78,-20.02,148.23,77,8.05
12,novobiryusinskiy,RU,0,12/10/2017,55,56.96,97.71,-5.31,6.17
13,pangoa,PE,44,12/10/2017,92,-12.12,-73,75.56,2.26
14,pangnirtung,CA,90,12/10/2017,85,66.15,-65.71,12.2,5.61
15,broken hill,AU,0,12/10/2017,56,-31.95,141.43,64.72,10.65
16,bluff,NZ,48,12/10/2017,100,-46.6,168.33,58.46,25.52
17,touros,BR,80,12/10/2017,81,-5.2,-35.46,80.83,10.2
18,quatre cocos,MU,20,12/10/2017,78,-20.21,57.76,77,6.93
19,broome,AU,40,12/10/2017,84,-17.97,122.23,86,5.82
20,chokurdakh,RU,48,12/10/2017,67,70.63,147.92,-14.4,5.61
21,srednekolymsk,RU,64,12/10/2017,72,67.45,153.68,-10.12,3.27
22,nelson bay,AU,20,12/10/2017,53,-32.72,152.15,75.2,9.17
23,pitimbu,BR,0,12/10/2017,78,-7.47,-34.81,80.6,11.41
24,caravelas,BR,68,12/10/2017,100,-17.71,-39.25,79.12,9.19
25,mankato,US,90,12/10/2017,80,44.16,-94,35.6,8.05
26,kutum,SD,0,12/10/2017,57,14.2,24.67,52.93,3.94
27,imeni morozova,RU,90,12/10/2017,93,59.98,31.04,32,2.24
28,vaini,TO,20,12/10/2017,69,-21.2,-175.2,80.6,9.17
29,cardoso,BR,48,12/10/2017,62,-20.08,-49.91,85.96,7.07
30,taksimo,RU,0,12/10/2017,69,56.34,114.88,-37.8,2.15
31,new norfolk,AU,75,12/10/2017,59,-42.78,147.06,62.6,6.93
32,ust-nera,RU,44,12/10/2017,0,64.57,143.2,-44.73,1.92
33,saldanha,ZA,0,12/10/2017,55,-33.01,17.94,62.6,5.82
34,aquiraz,BR,0,12/10/2017,74,-3.9,-38.39,82.4,5.82
35,shimoda,JP,0,12/10/2017,100,34.67,138.95,55.45,10.76
36,shache,CN,12,12/10/2017,68,38.42,77.24,17.74,5.28
37,kuusamo,FI,90,12/10/2017,92,65.97,29.18,28.4,11.41
38,busselton,AU,20,12/10/2017,100,-33.65,115.33,67.28,16.46
39,chuy,UY,0,12/10/2017,60,-33.7,-53.46,71.47,17.47
40,marawi,SD,0,12/10/2017,51,18.48,31.82,73.4,9.64
41,waterloo,SL,0,12/10/2017,66,8.34,-13.07,84.2,9.17
42,bam,IR,0,12/10/2017,57,29.11,58.36,24.4,2.93
43,byron bay,AU,40,12/10/2017,64,-28.65,153.62,75.2,14.99
44,manggar,ID,56,12/10/2017,100,-2.88,108.27,75.97,5.95
45,tezu,IN,0,12/10/2017,79,27.92,96.17,50.36,1.48
46,manokwari,ID,76,12/10/2017,100,-0.87,134.08,79.39,15.12
47,cairns,AU,40,12/10/2017,69,-16.92,145.77,80.6,11.41
48,bandarbeyla,SO,12,12/10/2017,100,9.49,50.81,76.73,24.07
49,laguna,BR,32,12/10/2017,80,-28.48,-48.78,78.35,13.22
50,clyde river,CA,90,12/10/2017,84,70.47,-68.59,6.8,9.17
51,matara,LK,20,12/10/2017,100,5.95,80.54,75.16,2.26
52,pisco,PE,0,12/10/2017,77,-13.7,-76.22,69.8,10.29
53,lebu,CL,76,12/10/2017,91,-37.62,-73.65,56.66,23.62
54,sawakin,SD,8,12/10/2017,78,19.11,37.33,77,13.87
55,yangjiang,CN,8,12/10/2017,100,21.85,111.97,60.94,20.49
56,carnarvon,AU,92,12/10/2017,99,-24.87,113.63,72.5,8.41
57,souillac,MU,40,12/10/2017,78,-20.52,57.52,77,5.82
58,kuldiga,LV,0,12/10/2017,89,56.97,21.96,30.2,8.05
59,yhu,PY,12,12/10/2017,50,-25.05,-55.92,87.67,10.09
60,aklavik,CA,90,12/10/2017,84,68.22,-135.01,6.8,2.24
61,hovd,MN,0,12/10/2017,73,48.01,91.64,-5.94,1.14
62,utica,US,90,12/10/2017,68,43.1,-75.23,28.4,8.05
63,vila praia de ancora,PT,75,12/10/2017,93,41.81,-8.85,53.6,11.41
64,ampanihy,MG,48,12/10/2017,87,-24.7,44.75,68.45,8.41
65,san rafael,AR,0,12/10/2017,20,-34.62,-68.33,87.31,5.73
66,oktyabrskiy,RU,20,12/10/2017,77,54.48,53.47,2.21,2.93
67,pacific grove,US,1,12/10/2017,19,36.62,-121.92,80.6,5.82
68,wakkanai,JP,92,12/10/2017,100,45.41,141.67,34.75,38.05
69,foumban,CM,76,12/10/2017,58,5.73,10.9,72.37,2.37
70,awallan,PH,64,12/10/2017,96,17.92,121.91,70.88,6.96
71,santa rosa,AR,0,12/10/2017,29,-36.62,-64.28,87.31,13.22
72,lukovetskiy,RU,90,12/10/2017,92,64.3,41.92,24.8,13.42
73,isangel,VU,64,12/10/2017,100,-19.55,169.27,78.98,10.87
74,butaritari,KI,64,12/10/2017,100,3.07,172.79,80.6,8.19
75,santiago del estero,AR,0,12/10/2017,30,-27.8,-64.26,99.73,5.17
76,ngunguru,NZ,64,12/10/2017,94,-35.62,174.5,67.33,3.71
77,awbari,LY,0,12/10/2017,71,26.59,12.78,37.58,3.6
78,kieta,PG,92,12/10/2017,100,-6.22,155.63,75.7,6.4
79,plunge,LT,75,12/10/2017,92,55.91,21.84,30.2,6.93
80,kitgum,UG,8,12/10/2017,41,3.28,32.89,71.38,11.21
81,arlit,NE,0,12/10/2017,31,18.74,7.39,57.2,10.65
82,south venice,US,1,12/10/2017,54,27.05,-82.42,59,10.29
83,hailey,US,5,12/10/2017,44,43.52,-114.32,39.2,11.41
84,sola,VU,8,12/10/2017,96,-13.88,167.55,82.45,8.75
85,okato,NZ,8,12/10/2017,91,-39.2,173.88,66.7,9.98
86,bilma,NE,0,12/10/2017,51,18.69,12.92,54.5,7.52
87,cabo san lucas,MX,90,12/10/2017,39,22.89,-109.91,80.6,5.39
88,mpika,ZM,68,12/10/2017,94,-11.83,31.45,64.27,1.25
89,darnah,LY,64,12/10/2017,100,32.77,22.64,65.35,3.94
90,nago,JP,75,12/10/2017,59,26.59,127.98,66.2,13.87
91,newry,GB,0,12/10/2017,92,54.18,-6.34,28.4,2.24
92,socorro,US,75,12/10/2017,22,31.65,-106.3,59,3.36
93,pasighat,IN,0,12/10/2017,84,28.07,95.33,52.93,1.92
94,tarsus,TR,0,12/10/2017,81,36.92,34.88,46.4,2.24
95,zalantun,CN,36,12/10/2017,69,48,122.72,-1.8,7.74
96,ushuaia,AR,40,12/10/2017,42,-54.8,-68.3,62.6,3.36
97,atuona,PF,92,12/10/2017,100,-9.8,-139.03,77.41,10.76
98,notse,TG,0,12/10/2017,60,6.95,1.17,70.84,3.04
99,kloulklubed,PW,75,12/10/2017,94,7.04,134.26,82.4,3.36
100,braganca,BR,76,12/10/2017,72,-1.05,-46.77,82.81,6.06
101,riyadh,SA,0,12/10/2017,22,24.69,46.72,44.6,2.26
102,los llanos de aridane,ES,0,12/10/2017,63,28.66,-17.92,66.2,9.17
103,beloha,MG,12,12/10/2017,97,-25.17,45.05,69.22,6.17
